document,candidates,top1_match,top_5_match,top_10_match,pos_1st_match,query_terms,full_query_terms,iteration,term_field,document_field,query_terms_ratio,memory_size
10081,521,0,0,0,-1,0,21,1,track,user,0.8,3
1006640,521,0,0,0,-1,0,11,1,track,user,0.8,3
1041908,0,0,0,0,-1,1,10,1,track,user,0.8,3
1047729,0,0,0,0,-1,2,17,1,track,user,0.8,3
2059685,149,0,0,0,33,4,87,1,track,user,0.8,3
2065460,328,1,1,1,1,11,71,1,track,user,0.8,3
2065883,521,0,0,0,-1,0,5,1,track,user,0.8,3
2066535,82,0,0,0,-1,8,53,1,track,user,0.8,3
2066761,504,0,0,0,157,1,11,1,track,user,0.8,3
2089648,549,0,0,0,-1,6,48,1,track,user,0.8,3
2090851,521,0,0,0,-1,0,24,1,track,user,0.8,3
2102912,0,0,0,0,-1,1,39,1,track,user,0.8,3
2115322,521,0,0,0,-1,0,53,1,track,user,0.8,3
2146029,521,0,0,0,-1,0,35,1,track,user,0.8,3
2165224,46,0,0,0,-1,3,21,1,track,user,0.8,3
2198623,595,0,0,0,23,12,88,1,track,user,0.8,3
2302165,164,0,0,0,-1,3,26,1,track,user,0.8,3
2305062,87,0,0,0,-1,2,60,1,track,user,0.8,3
2332588,521,0,0,0,-1,0,5,1,track,user,0.8,3
2333340,528,0,0,0,-1,1,37,1,track,user,0.8,3
2358595,487,0,0,0,-1,7,65,1,track,user,0.8,3
2375646,0,0,0,0,-1,5,39,1,track,user,0.8,3
2397398,298,0,0,0,172,13,75,1,track,user,0.8,3
2406271,263,0,0,0,-1,2,20,1,track,user,0.8,3
2426673,92,0,0,0,-1,3,26,1,track,user,0.8,3
2449652,414,1,1,1,1,6,77,1,track,user,0.8,3
2472606,38,0,0,0,-1,1,87,1,track,user,0.8,3
2476658,586,0,0,0,-1,9,54,1,track,user,0.8,3
2483177,13,0,0,0,-1,1,37,1,track,user,0.8,3
2538364,377,0,0,0,-1,1,92,1,track,user,0.8,3
2551211,521,0,0,0,-1,0,4,1,track,user,0.8,3
2584562,0,0,0,0,-1,7,42,1,track,user,0.8,3
2590118,521,0,0,0,-1,0,6,1,track,user,0.8,3
2613453,287,0,0,0,-1,9,62,1,track,user,0.8,3
2621840,521,0,0,0,-1,0,4,1,track,user,0.8,3
2635538,292,0,0,0,-1,7,53,1,track,user,0.8,3
2642245,521,0,0,0,-1,0,16,1,track,user,0.8,3
2699847,9,0,0,0,-1,1,22,1,track,user,0.8,3
2732566,340,0,0,0,154,3,49,1,track,user,0.8,3
2765086,0,0,0,0,-1,11,81,1,track,user,0.8,3
2772492,239,0,0,0,-1,2,15,1,track,user,0.8,3
2774772,162,0,0,0,-1,2,18,1,track,user,0.8,3
2786423,521,0,0,0,-1,0,4,1,track,user,0.8,3
2787461,56,0,0,0,-1,9,69,1,track,user,0.8,3
2842314,115,0,0,0,-1,15,89,1,track,user,0.8,3
2861388,521,0,0,0,-1,0,12,1,track,user,0.8,3
2876694,521,0,0,0,-1,0,7,1,track,user,0.8,3
2881480,599,0,0,0,128,10,94,1,track,user,0.8,3
2890989,258,0,0,0,-1,4,32,1,track,user,0.8,3
