document,candidates,top1_match,top_5_match,top_10_match,pos_1st_match,query_terms,full_query_terms,iteration,term_field,document_field,query_terms_ratio,memory_size
10081,585,0,0,0,-1,0,22,1,track,user,0.8,2
1006640,585,0,0,0,-1,0,12,1,track,user,0.8,2
1041908,0,0,0,0,-1,2,11,1,track,user,0.8,2
1047729,0,0,0,0,-1,3,18,1,track,user,0.8,2
2059685,152,0,1,1,4,5,88,1,track,user,0.8,2
2065460,323,1,1,1,1,12,72,1,track,user,0.8,2
2065883,0,0,0,0,-1,1,6,1,track,user,0.8,2
2066535,83,0,0,0,-1,9,54,1,track,user,0.8,2
2066761,493,0,1,1,3,2,12,1,track,user,0.8,2
2089648,535,1,1,1,1,7,49,1,track,user,0.8,2
2090851,0,0,0,0,-1,1,25,1,track,user,0.8,2
2102912,0,0,0,0,-1,2,40,1,track,user,0.8,2
2115322,585,0,0,0,-1,0,54,1,track,user,0.8,2
2146029,0,0,0,0,-1,1,36,1,track,user,0.8,2
2165224,48,0,0,0,-1,4,22,1,track,user,0.8,2
2198623,593,1,1,1,1,13,89,1,track,user,0.8,2
2302165,160,0,0,0,40,4,27,1,track,user,0.8,2
2305062,84,0,0,0,-1,3,61,1,track,user,0.8,2
2332588,585,0,0,0,-1,0,6,1,track,user,0.8,2
2333340,528,0,0,0,-1,2,38,1,track,user,0.8,2
2358595,442,0,0,0,-1,8,66,1,track,user,0.8,2
2375646,0,0,0,0,-1,6,40,1,track,user,0.8,2
2397398,293,0,0,0,225,14,76,1,track,user,0.8,2
2406271,259,0,0,0,-1,3,21,1,track,user,0.8,2
2426673,95,0,0,0,-1,4,27,1,track,user,0.8,2
2449652,406,0,1,1,2,7,78,1,track,user,0.8,2
2472606,36,0,0,0,-1,2,88,1,track,user,0.8,2
2476658,582,0,0,0,-1,10,55,1,track,user,0.8,2
2483177,14,0,0,0,-1,2,38,1,track,user,0.8,2
2538364,375,0,0,0,-1,2,93,1,track,user,0.8,2
2551211,0,0,0,0,-1,1,5,1,track,user,0.8,2
2584562,0,0,0,0,-1,8,43,1,track,user,0.8,2
2590118,0,0,0,0,-1,1,7,1,track,user,0.8,2
2613453,288,0,0,0,-1,10,63,1,track,user,0.8,2
2621840,82,0,0,0,-1,1,5,1,track,user,0.8,2
2635538,295,0,0,0,-1,8,54,1,track,user,0.8,2
2642245,97,0,0,0,-1,1,17,1,track,user,0.8,2
2699847,10,0,0,0,-1,2,23,1,track,user,0.8,2
2732566,341,0,0,0,60,4,50,1,track,user,0.8,2
2765086,0,0,0,0,-1,12,82,1,track,user,0.8,2
2772492,240,0,0,0,-1,3,16,1,track,user,0.8,2
2774772,161,0,0,0,-1,3,19,1,track,user,0.8,2
2786423,585,0,0,0,-1,0,5,1,track,user,0.8,2
2787461,56,0,0,0,14,10,70,1,track,user,0.8,2
2842314,116,0,0,0,-1,16,90,1,track,user,0.8,2
2861388,0,0,0,0,-1,1,13,1,track,user,0.8,2
2876694,0,0,0,0,-1,1,8,1,track,user,0.8,2
2881480,603,0,0,0,361,11,95,1,track,user,0.8,2
2890989,252,0,0,0,240,5,33,1,track,user,0.8,2
2894921,193,0,0,0,-1,2,15,1,track,user,0.8,2
2916218,294,0,0,0,-1,8,54,1,track,user,0.8,2
2926375,585,0,0,0,-1,0,8,1,track,user,0.8,2
2992404,585,0,0,0,-1,0,20,1,track,user,0.8,2
3014648,168,0,0,0,-1,13,68,1,track,user,0.8,2
3021473,0,0,0,0,-1,10,61,1,track,user,0.8,2
3035599,68,0,0,0,-1,7,52,1,track,user,0.8,2
3039758,151,0,0,0,-1,4,24,1,track,user,0.8,2
3054604,90,0,0,0,-1,5,39,1,track,user,0.8,2
3059193,428,0,1,1,2,9,61,1,track,user,0.8,2
3069452,0,0,0,0,-1,2,24,1,track,user,0.8,2
3090210,615,0,0,0,258,4,24,1,track,user,0.8,2
3094961,188,0,0,0,-1,3,16,1,track,user,0.8,2
3100927,329,0,0,0,-1,2,24,1,track,user,0.8,2
3109435,585,0,0,0,-1,0,8,1,track,user,0.8,2
3112672,585,0,0,0,-1,0,31,1,track,user,0.8,2
3138654,84,0,0,0,-1,2,26,1,track,user,0.8,2
3151737,95,0,0,0,-1,9,50,1,track,user,0.8,2
3170116,0,0,0,0,-1,1,8,1,track,user,0.8,2
3182473,0,0,0,0,-1,2,48,1,track,user,0.8,2
3186656,169,0,0,0,-1,3,34,1,track,user,0.8,2
3187328,480,0,0,0,-1,17,89,1,track,user,0.8,2
3207133,571,0,0,0,13,7,92,1,track,user,0.8,2
3210599,585,0,0,0,-1,0,13,1,track,user,0.8,2
3236362,585,0,0,0,-1,0,7,1,track,user,0.8,2
3256864,309,0,0,0,-1,1,17,1,track,user,0.8,2
3259105,443,0,1,1,4,14,78,1,track,user,0.8,2
3264447,0,0,0,0,-1,1,7,1,track,user,0.8,2
3292435,85,0,0,0,-1,6,31,1,track,user,0.8,2
3322129,157,0,0,0,-1,4,42,1,track,user,0.8,2
3337883,83,0,0,0,-1,4,28,1,track,user,0.8,2
3344910,0,0,0,0,-1,1,7,1,track,user,0.8,2
3349211,0,0,0,0,-1,1,9,1,track,user,0.8,2
3362782,469,0,0,0,-1,1,17,1,track,user,0.8,2
3372213,449,0,0,0,-1,10,78,1,track,user,0.8,2
3406979,22,0,0,0,-1,3,24,1,track,user,0.8,2
3410414,0,0,0,0,-1,3,24,1,track,user,0.8,2
3422287,327,1,1,1,1,5,35,1,track,user,0.8,2
3430090,250,0,0,0,-1,11,73,1,track,user,0.8,2
3434572,585,0,0,0,-1,0,7,1,track,user,0.8,2
3437563,48,0,0,0,-1,7,39,1,track,user,0.8,2
3450056,251,0,0,0,-1,2,14,1,track,user,0.8,2
3456803,413,0,1,1,3,14,78,1,track,user,0.8,2
3463705,144,0,0,0,42,4,22,1,track,user,0.8,2
3518544,41,0,1,1,4,4,35,1,track,user,0.8,2
3521837,313,0,1,1,4,5,27,1,track,user,0.8,2
3532919,0,0,0,0,-1,5,29,1,track,user,0.8,2
3549336,57,0,0,0,-1,2,60,1,track,user,0.8,2
3555461,0,0,0,0,-1,1,6,1,track,user,0.8,2
3563219,344,0,0,0,-1,9,53,1,track,user,0.8,2
3566051,444,0,0,0,-1,10,63,1,track,user,0.8,2
3577947,334,0,0,0,-1,14,88,1,track,user,0.8,2
3606142,232,0,0,0,20,2,13,1,track,user,0.8,2
3607102,164,0,0,1,8,1,9,1,track,user,0.8,2
3607817,48,0,0,0,-1,13,70,1,track,user,0.8,2
3624946,0,0,0,0,-1,1,5,1,track,user,0.8,2
3626996,394,0,0,0,-1,2,21,1,track,user,0.8,2
3633522,229,0,0,0,-1,1,82,1,track,user,0.8,2
3666082,0,0,0,0,-1,7,36,1,track,user,0.8,2
3670387,0,0,0,0,-1,3,51,1,track,user,0.8,2
3680033,34,0,0,0,-1,2,13,1,track,user,0.8,2
3681484,175,1,1,1,1,2,26,1,track,user,0.8,2
3700732,0,0,0,0,-1,7,39,1,track,user,0.8,2
3703087,0,0,0,0,-1,6,39,1,track,user,0.8,2
3716638,0,0,0,0,-1,14,80,1,track,user,0.8,2
3753893,585,0,0,0,-1,0,20,1,track,user,0.8,2
3773909,0,0,0,0,-1,4,22,1,track,user,0.8,2
3778928,40,0,0,0,21,2,45,1,track,user,0.8,2
3810699,454,0,0,0,-1,2,16,1,track,user,0.8,2
3816087,0,0,0,0,-1,1,43,1,track,user,0.8,2
3863296,474,0,0,0,-1,7,47,1,track,user,0.8,2
3873664,0,0,0,0,-1,2,24,1,track,user,0.8,2
3877081,585,0,0,0,-1,0,9,1,track,user,0.8,2
3891337,334,0,0,0,-1,1,14,1,track,user,0.8,2
3895516,399,1,1,1,1,2,13,1,track,user,0.8,2
3942540,285,0,0,0,-1,1,7,1,track,user,0.8,2
3980712,0,0,0,0,-1,1,5,1,track,user,0.8,2
4021827,134,0,0,0,-1,5,28,1,track,user,0.8,2
4031799,87,0,0,1,10,8,46,1,track,user,0.8,2
4034874,0,0,0,0,-1,1,46,1,track,user,0.8,2
4065372,0,0,0,0,-1,6,41,1,track,user,0.8,2
4085105,701,0,0,0,230,9,68,1,track,user,0.8,2
4105610,0,0,0,0,-1,4,34,1,track,user,0.8,2
4126840,633,0,0,0,-1,5,41,1,track,user,0.8,2
4142269,585,0,0,0,-1,0,18,1,track,user,0.8,2
4296468,110,0,0,0,-1,1,18,1,track,user,0.8,2
4336333,562,0,0,0,-1,2,26,1,track,user,0.8,2
4369085,0,0,0,0,-1,3,16,1,track,user,0.8,2
4443188,72,0,0,0,-1,1,31,1,track,user,0.8,2
4451849,115,0,0,0,-1,2,15,1,track,user,0.8,2
4462915,472,0,0,0,-1,7,96,1,track,user,0.8,2
4473534,0,0,0,0,-1,2,29,1,track,user,0.8,2
4476362,0,0,0,0,-1,2,25,1,track,user,0.8,2
4476862,297,0,0,0,-1,1,17,1,track,user,0.8,2
4484499,569,0,0,0,-1,11,79,1,track,user,0.8,2
4496879,585,0,0,0,-1,0,26,1,track,user,0.8,2
4519499,210,0,0,0,18,6,51,1,track,user,0.8,2
4525137,346,0,0,0,-1,2,33,1,track,user,0.8,2
4537974,51,0,0,0,-1,1,27,1,track,user,0.8,2
4551621,0,0,0,0,-1,1,13,1,track,user,0.8,2
4578864,108,0,0,0,-1,4,27,1,track,user,0.8,2
4597941,585,0,0,0,-1,0,46,1,track,user,0.8,2
4611938,249,0,1,1,2,1,11,1,track,user,0.8,2
4630983,0,0,0,0,-1,6,46,1,track,user,0.8,2
4645264,472,1,1,1,1,2,19,1,track,user,0.8,2
4668278,44,0,0,0,-1,3,28,1,track,user,0.8,2
4675107,247,0,0,0,-1,3,40,1,track,user,0.8,2
4695327,168,0,1,1,2,5,82,1,track,user,0.8,2
4713476,80,0,0,0,-1,4,40,1,track,user,0.8,2
4733116,585,0,0,0,-1,0,24,1,track,user,0.8,2
4741560,0,0,0,0,-1,3,37,1,track,user,0.8,2
4894587,300,1,1,1,1,15,81,1,track,user,0.8,2
4916762,15,0,0,0,-1,1,10,1,track,user,0.8,2
4921390,57,0,0,0,-1,7,52,1,track,user,0.8,2
4927627,585,0,0,0,-1,0,8,1,track,user,0.8,2
4929141,88,0,0,0,41,6,36,1,track,user,0.8,2
4931051,431,0,0,0,-1,12,60,1,track,user,0.8,2
4936109,88,0,0,0,44,3,15,1,track,user,0.8,2
4951829,0,0,0,0,-1,1,10,1,track,user,0.8,2
4993737,603,0,0,0,-1,3,17,1,track,user,0.8,2
5020639,0,0,0,0,-1,1,8,1,track,user,0.8,2
5027948,65,0,0,0,-1,2,12,1,track,user,0.8,2
5033994,0,0,0,0,-1,6,81,1,track,user,0.8,2
5039367,52,0,0,0,-1,4,52,1,track,user,0.8,2
5041046,121,0,1,1,4,4,38,1,track,user,0.8,2
5051020,126,0,0,0,-1,2,11,1,track,user,0.8,2
5052866,80,0,0,0,41,3,16,1,track,user,0.8,2
5060760,0,0,0,0,-1,1,9,1,track,user,0.8,2
