document,candidates,top1_match,top_5_match,top_10_match,pos_1st_match,query_terms,full_query_terms,iteration,term_field,document_field,query_terms_ratio,memory_size
103,221,1,1,1,1,3,31,1,track,session,0.8,1
150,0,0,0,0,-1,6,58,1,track,session,0.8,1
151,213,0,0,1,10,9,54,1,track,session,0.8,1
200,0,0,0,0,-1,1,11,1,track,session,0.8,1
201,0,0,0,0,-1,2,8,1,track,session,0.8,1
217,0,0,0,0,-1,2,6,1,track,session,0.8,1
248,97,0,0,0,-1,3,13,1,track,session,0.8,1
274,133,0,0,0,-1,1,35,1,track,session,0.8,1
275,51,0,0,0,-1,1,8,1,track,session,0.8,1
336,26,1,1,1,1,1,9,1,track,session,0.8,1
337,0,0,0,0,-1,1,18,1,track,session,0.8,1
338,184,1,1,1,1,2,7,1,track,session,0.8,1
400,0,0,0,0,-1,6,28,1,track,session,0.8,1
401,17,0,0,0,-1,1,9,1,track,session,0.8,1
403,17,0,0,1,6,1,8,1,track,session,0.8,1
406,0,0,0,0,-1,1,11,1,track,session,0.8,1
407,0,0,0,0,-1,1,9,1,track,session,0.8,1
435,136,1,1,1,1,1,6,1,track,session,0.8,1
557,202,0,0,0,-1,4,24,1,track,session,0.8,1
558,90,0,0,0,-1,7,79,1,track,session,0.8,1
559,23,0,0,0,-1,1,32,1,track,session,0.8,1
560,68,0,0,0,-1,1,10,1,track,session,0.8,1
561,56,0,0,0,-1,2,30,1,track,session,0.8,1
562,266,0,0,0,-1,4,28,1,track,session,0.8,1
563,83,0,0,0,-1,7,76,1,track,session,0.8,1
565,154,0,0,0,-1,2,14,1,track,session,0.8,1
566,144,0,0,0,-1,3,34,1,track,session,0.8,1
567,63,0,0,0,-1,1,16,1,track,session,0.8,1
568,211,0,0,0,-1,7,96,1,track,session,0.8,1
569,166,0,0,0,-1,1,19,1,track,session,0.8,1
570,240,0,0,0,-1,3,36,1,track,session,0.8,1
571,124,0,0,0,-1,1,15,1,track,session,0.8,1
573,0,0,0,0,-1,2,18,1,track,session,0.8,1
574,297,0,0,0,-1,3,20,1,track,session,0.8,1
575,166,0,0,0,-1,1,10,1,track,session,0.8,1
576,39,0,0,0,-1,2,17,1,track,session,0.8,1
577,79,0,0,0,-1,9,89,1,track,session,0.8,1
578,0,0,0,0,-1,2,29,1,track,session,0.8,1
579,243,0,0,0,-1,9,73,1,track,session,0.8,1
580,0,0,0,0,-1,2,43,1,track,session,0.8,1
583,0,0,0,0,-1,1,13,1,track,session,0.8,1
584,108,0,0,0,-1,8,43,1,track,session,0.8,1
585,51,0,0,0,-1,3,38,1,track,session,0.8,1
587,52,0,0,0,-1,1,17,1,track,session,0.8,1
588,85,0,0,0,-1,2,10,1,track,session,0.8,1
589,309,0,0,0,-1,10,74,1,track,session,0.8,1
625,0,0,0,0,-1,1,7,1,track,session,0.8,1
627,0,0,0,0,-1,1,21,1,track,session,0.8,1
628,0,0,0,0,-1,1,23,1,track,session,0.8,1
629,0,0,0,0,-1,1,25,1,track,session,0.8,1
630,13,0,0,0,-1,2,14,1,track,session,0.8,1
633,45,0,0,0,-1,1,7,1,track,session,0.8,1
634,87,0,0,0,-1,8,64,1,track,session,0.8,1
635,0,0,0,0,-1,1,50,1,track,session,0.8,1
636,0,0,0,0,-1,1,18,1,track,session,0.8,1
637,0,0,0,0,-1,2,10,1,track,session,0.8,1
638,0,0,0,0,-1,1,23,1,track,session,0.8,1
639,0,0,0,0,-1,1,14,1,track,session,0.8,1
641,43,0,0,0,-1,2,16,1,track,session,0.8,1
642,209,0,0,0,-1,2,17,1,track,session,0.8,1
