document,candidates,top1_match,top_5_match,top_10_match,pos_1st_match,query_terms,full_query_terms,iteration,term_field,document_field,query_terms_ratio,memory_size
10081,411,1,1,1,1,1,23,1,track,user,0.8,1
1006640,0,0,0,0,-1,1,13,1,track,user,0.8,1
1041908,0,0,0,0,-1,3,12,1,track,user,0.8,1
1047729,0,0,0,0,-1,4,19,1,track,user,0.8,1
2059685,140,1,1,1,1,6,89,1,track,user,0.8,1
2065460,290,1,1,1,1,13,73,1,track,user,0.8,1
2065883,0,0,0,0,-1,2,7,1,track,user,0.8,1
2066535,81,0,0,0,-1,10,55,1,track,user,0.8,1
2066761,421,1,1,1,1,3,13,1,track,user,0.8,1
2089648,480,1,1,1,1,8,50,1,track,user,0.8,1
2090851,0,0,0,0,-1,2,26,1,track,user,0.8,1
2102912,0,0,0,0,-1,3,41,1,track,user,0.8,1
2115322,0,0,0,0,-1,1,55,1,track,user,0.8,1
2146029,0,0,0,0,-1,2,37,1,track,user,0.8,1
2165224,45,0,0,0,-1,5,23,1,track,user,0.8,1
2198623,515,0,0,1,9,14,90,1,track,user,0.8,1
2302165,133,0,0,0,91,5,28,1,track,user,0.8,1
2305062,78,0,1,1,3,4,62,1,track,user,0.8,1
2332588,0,0,0,0,-1,1,7,1,track,user,0.8,1
2333340,482,0,1,1,5,3,39,1,track,user,0.8,1
2358595,267,1,1,1,1,9,67,1,track,user,0.8,1
2375646,0,0,0,0,-1,7,41,1,track,user,0.8,1
2397398,266,0,0,0,54,15,77,1,track,user,0.8,1
2406271,233,0,0,0,-1,4,22,1,track,user,0.8,1
2426673,93,0,0,0,-1,5,28,1,track,user,0.8,1
2449652,368,1,1,1,1,8,79,1,track,user,0.8,1
2472606,28,0,0,0,-1,3,89,1,track,user,0.8,1
2476658,453,0,0,0,31,11,56,1,track,user,0.8,1
2483177,14,0,0,0,-1,3,39,1,track,user,0.8,1
2538364,351,0,0,0,-1,3,94,1,track,user,0.8,1
2551211,0,0,0,0,-1,2,6,1,track,user,0.8,1
2584562,0,0,0,0,-1,9,44,1,track,user,0.8,1
2590118,0,0,0,0,-1,2,8,1,track,user,0.8,1
2613453,238,0,0,0,181,11,64,1,track,user,0.8,1
2621840,78,0,0,0,-1,2,6,1,track,user,0.8,1
2635538,274,0,0,0,-1,9,55,1,track,user,0.8,1
2642245,93,0,0,0,23,2,18,1,track,user,0.8,1
2699847,10,0,0,1,7,3,24,1,track,user,0.8,1
2732566,311,0,0,1,7,5,51,1,track,user,0.8,1
2765086,0,0,0,0,-1,13,83,1,track,user,0.8,1
2772492,212,0,0,0,-1,4,17,1,track,user,0.8,1
2774772,141,0,0,0,70,4,20,1,track,user,0.8,1
2786423,0,0,0,0,-1,1,6,1,track,user,0.8,1
2787461,54,1,1,1,1,11,71,1,track,user,0.8,1
2842314,111,0,0,0,36,17,91,1,track,user,0.8,1
2861388,0,0,0,0,-1,2,14,1,track,user,0.8,1
2876694,0,0,0,0,-1,2,9,1,track,user,0.8,1
2881480,557,0,0,0,108,12,96,1,track,user,0.8,1
2890989,221,0,0,1,9,6,34,1,track,user,0.8,1
2894921,182,0,0,0,-1,3,16,1,track,user,0.8,1
2916218,240,0,0,0,20,9,55,1,track,user,0.8,1
2926375,78,0,0,0,-1,1,9,1,track,user,0.8,1
2992404,515,0,0,0,444,1,21,1,track,user,0.8,1
3014648,166,0,0,0,94,14,69,1,track,user,0.8,1
3021473,0,0,0,0,-1,11,62,1,track,user,0.8,1
3035599,62,0,0,1,6,8,53,1,track,user,0.8,1
3039758,144,0,0,0,129,5,25,1,track,user,0.8,1
3054604,67,0,0,0,-1,6,40,1,track,user,0.8,1
3059193,335,0,1,1,3,10,62,1,track,user,0.8,1
3069452,0,0,0,0,-1,3,25,1,track,user,0.8,1
3090210,443,0,0,0,30,5,25,1,track,user,0.8,1
3094961,180,0,0,0,-1,4,17,1,track,user,0.8,1
3100927,288,1,1,1,1,3,25,1,track,user,0.8,1
3109435,123,0,0,0,52,1,9,1,track,user,0.8,1
3112672,52,0,0,0,17,1,32,1,track,user,0.8,1
3138654,77,0,0,0,-1,3,27,1,track,user,0.8,1
3151737,76,0,0,0,-1,10,51,1,track,user,0.8,1
3170116,0,0,0,0,-1,2,9,1,track,user,0.8,1
3182473,0,0,0,0,-1,3,49,1,track,user,0.8,1
3186656,157,0,0,0,-1,4,35,1,track,user,0.8,1
3187328,364,0,1,1,3,18,90,1,track,user,0.8,1
3207133,461,0,0,0,16,8,93,1,track,user,0.8,1
3210599,0,0,0,0,-1,1,14,1,track,user,0.8,1
3236362,85,0,0,0,32,1,8,1,track,user,0.8,1
3256864,248,0,0,0,23,2,18,1,track,user,0.8,1
3259105,408,0,1,1,2,15,79,1,track,user,0.8,1
3264447,0,0,0,0,-1,2,8,1,track,user,0.8,1
3292435,81,0,0,0,-1,7,32,1,track,user,0.8,1
3322129,123,0,0,0,123,5,43,1,track,user,0.8,1
3337883,76,0,0,0,-1,5,29,1,track,user,0.8,1
3344910,0,0,0,0,-1,2,8,1,track,user,0.8,1
3349211,0,0,0,0,-1,2,10,1,track,user,0.8,1
3362782,403,0,0,0,-1,2,18,1,track,user,0.8,1
3372213,420,0,0,0,394,11,79,1,track,user,0.8,1
3406979,22,0,0,0,-1,4,25,1,track,user,0.8,1
3410414,0,0,0,0,-1,4,25,1,track,user,0.8,1
3422287,302,0,1,1,3,6,36,1,track,user,0.8,1
3430090,224,0,0,0,24,12,74,1,track,user,0.8,1
3434572,36,0,0,0,-1,1,8,1,track,user,0.8,1
3437563,45,0,0,0,-1,8,40,1,track,user,0.8,1
3450056,235,0,0,0,53,3,15,1,track,user,0.8,1
3456803,331,0,1,1,4,15,79,1,track,user,0.8,1
3463705,141,0,0,0,62,5,23,1,track,user,0.8,1
3518544,35,0,0,0,13,5,36,1,track,user,0.8,1
3521837,225,0,0,0,14,6,28,1,track,user,0.8,1
3532919,0,0,0,0,-1,6,30,1,track,user,0.8,1
3549336,47,0,0,0,22,3,61,1,track,user,0.8,1
3555461,0,0,0,0,-1,2,7,1,track,user,0.8,1
3563219,301,0,0,0,-1,10,54,1,track,user,0.8,1
3566051,394,0,0,0,-1,11,64,1,track,user,0.8,1
3577947,264,0,0,0,48,15,89,1,track,user,0.8,1
3606142,176,0,0,0,56,3,14,1,track,user,0.8,1
3607102,148,0,1,1,5,2,10,1,track,user,0.8,1
3607817,47,0,0,0,23,14,71,1,track,user,0.8,1
3624946,0,0,0,0,-1,2,6,1,track,user,0.8,1
3626996,359,0,0,0,26,3,22,1,track,user,0.8,1
3633522,208,0,0,1,10,2,83,1,track,user,0.8,1
3666082,0,0,0,0,-1,8,37,1,track,user,0.8,1
3670387,0,0,0,0,-1,4,52,1,track,user,0.8,1
3680033,33,0,0,0,21,3,14,1,track,user,0.8,1
3681484,141,1,1,1,1,3,27,1,track,user,0.8,1
3700732,0,0,0,0,-1,8,40,1,track,user,0.8,1
3703087,0,0,0,0,-1,7,40,1,track,user,0.8,1
3716638,0,0,0,0,-1,15,81,1,track,user,0.8,1
3753893,114,0,1,1,5,1,21,1,track,user,0.8,1
3773909,0,0,0,0,-1,5,23,1,track,user,0.8,1
3778928,38,0,0,1,7,3,46,1,track,user,0.8,1
3810699,427,0,0,1,10,3,17,1,track,user,0.8,1
3816087,0,0,0,0,-1,2,44,1,track,user,0.8,1
3863296,400,0,0,0,-1,8,48,1,track,user,0.8,1
3873664,0,0,0,0,-1,3,25,1,track,user,0.8,1
3877081,0,0,0,0,-1,1,10,1,track,user,0.8,1
3891337,314,0,0,0,-1,2,15,1,track,user,0.8,1
3895516,366,1,1,1,1,3,14,1,track,user,0.8,1
3942540,265,0,0,0,219,2,8,1,track,user,0.8,1
3980712,0,0,0,0,-1,2,6,1,track,user,0.8,1
4021827,127,0,0,0,14,6,29,1,track,user,0.8,1
4031799,83,0,0,1,7,9,47,1,track,user,0.8,1
4034874,0,0,0,0,-1,2,47,1,track,user,0.8,1
4065372,0,0,0,0,-1,7,42,1,track,user,0.8,1
4085105,605,0,0,0,47,10,69,1,track,user,0.8,1
4105610,0,0,0,0,-1,5,35,1,track,user,0.8,1
4126840,550,0,0,0,63,6,42,1,track,user,0.8,1
4142269,119,0,0,1,8,1,19,1,track,user,0.8,1
4296468,105,0,0,0,30,2,19,1,track,user,0.8,1
4336333,531,0,0,0,-1,3,27,1,track,user,0.8,1
4369085,0,0,0,0,-1,4,17,1,track,user,0.8,1
4443188,71,0,0,0,-1,2,32,1,track,user,0.8,1
4451849,107,0,0,0,-1,3,16,1,track,user,0.8,1
4462915,407,0,0,0,49,8,97,1,track,user,0.8,1
4473534,0,0,0,0,-1,3,30,1,track,user,0.8,1
4476362,0,0,0,0,-1,3,26,1,track,user,0.8,1
4476862,278,0,0,0,14,2,18,1,track,user,0.8,1
4484499,385,0,0,0,26,12,80,1,track,user,0.8,1
4496879,0,0,0,0,-1,1,27,1,track,user,0.8,1
4519499,195,0,0,0,21,7,52,1,track,user,0.8,1
4525137,310,0,0,0,-1,3,34,1,track,user,0.8,1
4537974,41,0,0,0,-1,2,28,1,track,user,0.8,1
4551621,0,0,0,0,-1,2,14,1,track,user,0.8,1
4578864,102,0,0,0,-1,5,28,1,track,user,0.8,1
4597941,342,0,1,1,2,1,47,1,track,user,0.8,1
4611938,225,0,1,1,5,2,12,1,track,user,0.8,1
4630983,0,0,0,0,-1,7,47,1,track,user,0.8,1
4645264,409,0,1,1,2,3,20,1,track,user,0.8,1
4668278,36,0,0,0,-1,4,29,1,track,user,0.8,1
4675107,221,0,0,0,15,4,41,1,track,user,0.8,1
4695327,157,0,1,1,3,6,83,1,track,user,0.8,1
4713476,64,0,0,0,-1,5,41,1,track,user,0.8,1
4733116,0,0,0,0,-1,1,25,1,track,user,0.8,1
4741560,0,0,0,0,-1,4,38,1,track,user,0.8,1
4894587,270,0,1,1,4,16,82,1,track,user,0.8,1
4916762,15,0,0,0,-1,2,11,1,track,user,0.8,1
4921390,54,0,0,0,-1,8,53,1,track,user,0.8,1
4927627,0,0,0,0,-1,1,9,1,track,user,0.8,1
4929141,73,1,1,1,1,7,37,1,track,user,0.8,1
4931051,409,0,0,0,-1,13,61,1,track,user,0.8,1
4936109,72,0,0,0,15,4,16,1,track,user,0.8,1
4951829,0,0,0,0,-1,2,11,1,track,user,0.8,1
4993737,501,0,0,0,80,4,18,1,track,user,0.8,1
5020639,0,0,0,0,-1,2,9,1,track,user,0.8,1
5027948,42,0,0,0,-1,3,13,1,track,user,0.8,1
5033994,0,0,0,0,-1,7,82,1,track,user,0.8,1
5039367,50,0,0,0,-1,5,53,1,track,user,0.8,1
5041046,106,0,1,1,4,5,39,1,track,user,0.8,1
5051020,121,0,0,0,109,3,12,1,track,user,0.8,1
5052866,79,0,0,0,27,4,17,1,track,user,0.8,1
5060760,0,0,0,0,-1,2,10,1,track,user,0.8,1
5063427,91,0,0,0,87,9,91,1,track,user,0.8,1
5072629,0,0,0,0,-1,2,18,1,track,user,0.8,1
5084656,184,0,0,0,-1,13,75,1,track,user,0.8,1
5085510,149,0,0,0,-1,7,37,1,track,user,0.8,1
5099815,279,0,0,0,-1,6,63,1,track,user,0.8,1
5103678,312,0,0,0,-1,9,71,1,track,user,0.8,1
5104381,0,0,0,0,-1,3,15,1,track,user,0.8,1
5129433,0,0,0,0,-1,6,27,1,track,user,0.8,1
5156460,0,0,0,0,-1,2,15,1,track,user,0.8,1
5159690,259,0,0,0,186,13,70,1,track,user,0.8,1
5197085,225,0,0,0,24,3,24,1,track,user,0.8,1
5240869,0,0,0,0,-1,5,21,1,track,user,0.8,1
5245708,167,1,1,1,1,1,10,1,track,user,0.8,1
5246586,292,1,1,1,1,16,95,1,track,user,0.8,1
5265351,0,0,0,0,-1,2,10,1,track,user,0.8,1
5266921,209,0,0,0,94,12,65,1,track,user,0.8,1
5276009,0,0,0,0,-1,4,23,1,track,user,0.8,1
5280460,0,0,0,0,-1,6,42,1,track,user,0.8,1
5301900,185,0,0,0,-1,2,13,1,track,user,0.8,1
5314514,311,0,0,0,13,12,86,1,track,user,0.8,1
5329362,165,0,0,0,38,11,56,1,track,user,0.8,1
