document,candidates,top1_match,top_5_match,top_10_match,pos_1st_match,query_terms,full_query_terms,iteration,term_field,document_field,query_terms_ratio,memory_size
103,248,1,1,1,1,2,30,1,track,session,0.8,2
150,0,0,0,0,-1,5,57,1,track,session,0.8,2
151,266,0,1,1,5,8,53,1,track,session,0.8,2
200,109,0,0,0,-1,0,10,1,track,session,0.8,2
201,0,0,0,0,-1,1,7,1,track,session,0.8,2
217,0,0,0,0,-1,1,5,1,track,session,0.8,2
248,101,0,0,0,-1,2,12,1,track,session,0.8,2
274,109,0,0,0,-1,0,34,1,track,session,0.8,2
275,109,0,0,0,-1,0,7,1,track,session,0.8,2
336,109,0,0,0,-1,0,8,1,track,session,0.8,2
337,109,0,0,0,-1,0,17,1,track,session,0.8,2
338,198,1,1,1,1,1,6,1,track,session,0.8,2
400,0,0,0,0,-1,5,27,1,track,session,0.8,2
401,109,0,0,0,-1,0,8,1,track,session,0.8,2
403,109,0,0,0,-1,0,7,1,track,session,0.8,2
406,109,0,0,0,-1,0,10,1,track,session,0.8,2
407,109,0,0,0,-1,0,8,1,track,session,0.8,2
435,109,0,0,0,-1,0,5,1,track,session,0.8,2
557,234,0,0,0,-1,3,23,1,track,session,0.8,2
558,103,0,0,0,-1,6,78,1,track,session,0.8,2
559,109,0,0,0,-1,0,31,1,track,session,0.8,2
560,109,0,0,0,-1,0,9,1,track,session,0.8,2
561,64,0,0,0,-1,1,29,1,track,session,0.8,2
562,279,0,0,0,-1,3,27,1,track,session,0.8,2
563,145,0,0,0,-1,6,75,1,track,session,0.8,2
565,195,0,0,0,-1,1,13,1,track,session,0.8,2
566,144,0,0,0,-1,2,33,1,track,session,0.8,2
567,109,0,0,0,-1,0,15,1,track,session,0.8,2
568,226,0,0,0,-1,6,95,1,track,session,0.8,2
569,109,0,0,0,-1,0,18,1,track,session,0.8,2
570,299,0,0,0,-1,2,35,1,track,session,0.8,2
571,109,0,0,0,-1,0,14,1,track,session,0.8,2
573,0,0,0,0,-1,1,17,1,track,session,0.8,2
574,315,0,0,0,-1,2,19,1,track,session,0.8,2
575,109,0,0,0,-1,0,9,1,track,session,0.8,2
576,39,0,0,0,-1,1,16,1,track,session,0.8,2
577,80,0,0,0,-1,8,88,1,track,session,0.8,2
578,0,0,0,0,-1,1,28,1,track,session,0.8,2
579,329,0,0,0,-1,8,72,1,track,session,0.8,2
580,0,0,0,0,-1,1,42,1,track,session,0.8,2
583,109,0,0,0,-1,0,12,1,track,session,0.8,2
584,323,0,0,0,-1,7,42,1,track,session,0.8,2
585,54,0,0,0,-1,2,37,1,track,session,0.8,2
587,109,0,0,0,-1,0,16,1,track,session,0.8,2
588,90,0,0,0,-1,1,9,1,track,session,0.8,2
589,328,0,0,0,-1,9,73,1,track,session,0.8,2
625,109,0,0,0,-1,0,6,1,track,session,0.8,2
627,109,0,0,0,-1,0,20,1,track,session,0.8,2
628,109,0,0,0,-1,0,22,1,track,session,0.8,2
629,109,0,0,0,-1,0,24,1,track,session,0.8,2
630,13,0,0,0,-1,1,13,1,track,session,0.8,2
633,109,0,0,0,-1,0,6,1,track,session,0.8,2
634,91,0,0,0,-1,7,63,1,track,session,0.8,2
635,109,0,0,0,-1,0,49,1,track,session,0.8,2
636,109,0,0,0,-1,0,17,1,track,session,0.8,2
637,0,0,0,0,-1,1,9,1,track,session,0.8,2
638,109,0,0,0,-1,0,22,1,track,session,0.8,2
639,109,0,0,0,-1,0,13,1,track,session,0.8,2
641,43,0,0,0,-1,1,15,1,track,session,0.8,2
642,215,0,0,0,-1,1,16,1,track,session,0.8,2
700,27,1,1,1,1,3,16,1,track,session,0.8,2
726,109,0,0,0,-1,0,25,1,track,session,0.8,2
727,123,1,1,1,1,1,58,1,track,session,0.8,2
849,524,0,0,0,-1,9,69,1,track,session,0.8,2
851,109,0,0,0,-1,0,9,1,track,session,0.8,2
852,0,0,0,0,-1,4,39,1,track,session,0.8,2
854,0,0,0,0,-1,5,45,1,track,session,0.8,2
856,5,0,0,0,-1,1,6,1,track,session,0.8,2
857,31,0,0,0,-1,3,23,1,track,session,0.8,2
858,239,0,0,0,-1,2,15,1,track,session,0.8,2
860,174,0,0,0,56,1,19,1,track,session,0.8,2
863,231,0,0,0,-1,2,16,1,track,session,0.8,2
866,15,0,0,0,-1,6,47,1,track,session,0.8,2
867,109,0,0,0,-1,0,13,1,track,session,0.8,2
870,253,0,0,0,-1,4,31,1,track,session,0.8,2
876,14,0,0,0,-1,1,13,1,track,session,0.8,2
878,150,0,0,0,-1,1,36,1,track,session,0.8,2
886,0,0,0,0,-1,1,20,1,track,session,0.8,2
887,260,0,0,0,-1,5,53,1,track,session,0.8,2
888,109,0,0,0,-1,0,9,1,track,session,0.8,2
889,40,0,0,0,-1,2,42,1,track,session,0.8,2
890,127,0,0,0,-1,1,51,1,track,session,0.8,2
891,187,0,0,0,-1,1,22,1,track,session,0.8,2
929,39,0,0,0,-1,2,27,1,track,session,0.8,2
968,103,0,0,0,-1,1,13,1,track,session,0.8,2
