,iter,num_query_terms,document_field,term_field,strgy,top1_acc,top5_acc,top10_acc,num_train_documents,num_test_documents,query_terms_ratio
67,1,9.0,session,track,get_terms,0.0,0.0,0.3333333333333333,1491,453,0.4
68,1,12.0,session,track,get_terms,0.25,0.25,0.25,1491,453,0.4
69,1,17.0,session,track,get_terms,1.0,1.0,2.0,1491,453,0.4
70,1,28.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.4
71,2,0,session,track,get_terms,0.16216216216216217,0.35135135135135137,0.3783783783783784,1491,453,0.4
72,2,2.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.4
73,2,3.0,session,track,get_terms,0.3333333333333333,0.5,0.5,1491,453,0.4
74,2,4.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.4
75,2,5.0,session,track,get_terms,0.5,0.75,0.75,1491,453,0.4
76,2,6.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.4
77,2,7.0,session,track,get_terms,0.2,0.6,0.6,1491,453,0.4
78,2,8.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.4
79,2,9.0,session,track,get_terms,0.3333333333333333,0.6666666666666666,1.0,1491,453,0.4
80,2,12.0,session,track,get_terms,0.0,0.6666666666666666,0.6666666666666666,1491,453,0.4
81,2,13.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.4
82,2,18.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.4
83,2,30.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.4
84,0,0,session,track,get_terms,0.1891891891891892,0.4864864864864865,0.5135135135135135,1491,453,0.5
85,0,1.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
86,0,2.0,session,track,get_terms,0.4,1.2,1.2,1491,453,0.5
87,0,3.0,session,track,get_terms,0.0,0.2,0.2,1491,453,0.5
88,0,4.0,session,track,get_terms,0.25,0.25,0.25,1491,453,0.5
89,0,5.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
90,0,6.0,session,track,get_terms,0.3333333333333333,1.0,1.0,1491,453,0.5
91,0,7.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
92,0,8.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
93,0,10.0,session,track,get_terms,0.3333333333333333,0.6666666666666666,0.6666666666666666,1491,453,0.5
94,0,11.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
95,0,15.0,session,track,get_terms,1.0,1.0,2.0,1491,453,0.5
96,0,23.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
97,1,0,session,track,get_terms,0.21621621621621623,0.5135135135135135,0.5405405405405406,1491,453,0.5
98,1,1.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
99,1,2.0,session,track,get_terms,0.3333333333333333,0.6666666666666666,0.6666666666666666,1491,453,0.5
100,1,3.0,session,track,get_terms,0.0,0.2,0.2,1491,453,0.5
101,1,4.0,session,track,get_terms,0.25,0.5,0.5,1491,453,0.5
102,1,5.0,session,track,get_terms,0.5,1.0,1.0,1491,453,0.5
103,1,6.0,session,track,get_terms,0.4,1.2,1.2,1491,453,0.5
104,1,7.0,session,track,get_terms,0.5,1.0,1.0,1491,453,0.5
105,1,8.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
106,1,9.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
107,1,10.0,session,track,get_terms,0.3333333333333333,0.6666666666666666,0.6666666666666666,1491,453,0.5
108,1,15.0,session,track,get_terms,1.0,1.0,2.0,1491,453,0.5
109,1,23.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
110,2,0,session,track,get_terms,0.13157894736842105,0.47368421052631576,0.5526315789473685,1491,453,0.5
111,2,1.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
112,2,2.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
113,2,3.0,session,track,get_terms,0.25,0.75,0.75,1491,453,0.5
114,2,4.0,session,track,get_terms,0.4,1.2,1.4,1491,453,0.5
115,2,5.0,session,track,get_terms,0.5,1.5,1.5,1491,453,0.5
116,2,6.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
117,2,7.0,session,track,get_terms,0.0,0.5,1.0,1491,453,0.5
118,2,8.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
119,2,10.0,session,track,get_terms,0.0,0.6666666666666666,0.6666666666666666,1491,453,0.5
120,2,11.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
121,2,15.0,session,track,get_terms,0.0,0.0,1.0,1491,453,0.5
122,2,23.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.5
123,0,0,session,track,get_terms,0.2647058823529412,0.5882352941176471,0.7058823529411765,1491,453,0.6
124,0,1.0,session,track,get_terms,0.25,0.75,0.75,1491,453,0.6
125,0,2.0,session,track,get_terms,0.25,0.375,0.5,1491,453,0.6
126,0,3.0,session,track,get_terms,0.2,0.2,0.2,1491,453,0.6
127,0,4.0,session,track,get_terms,0.5,2.5,2.5,1491,453,0.6
128,0,5.0,session,track,get_terms,0.16666666666666666,0.5,0.5,1491,453,0.6
129,0,6.0,session,track,get_terms,0.3333333333333333,0.3333333333333333,0.3333333333333333,1491,453,0.6
130,0,8.0,session,track,get_terms,0.3333333333333333,1.0,1.3333333333333333,1491,453,0.6
131,0,9.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.6
132,0,12.0,session,track,get_terms,1.0,1.0,3.0,1491,453,0.6
133,0,17.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.6
134,1,0,session,track,get_terms,0.17142857142857143,0.4857142857142857,0.6571428571428571,1491,453,0.6
135,1,1.0,session,track,get_terms,0.2,0.4,0.4,1491,453,0.6
136,1,2.0,session,track,get_terms,0.16666666666666666,0.3333333333333333,0.5,1491,453,0.6
137,1,3.0,session,track,get_terms,0.3333333333333333,0.8888888888888888,1.0,1491,453,0.6
138,1,4.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.6
139,1,5.0,session,track,get_terms,0.0,0.25,0.25,1491,453,0.6
140,1,6.0,session,track,get_terms,0.0,0.3333333333333333,0.6666666666666666,1491,453,0.6
141,1,7.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.6
142,1,8.0,session,track,get_terms,0.25,0.75,1.0,1491,453,0.6
143,1,12.0,session,track,get_terms,0.0,0.0,2.0,1491,453,0.6
144,1,16.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.6
145,2,0,session,track,get_terms,0.2777777777777778,0.5833333333333334,0.6666666666666666,1491,453,0.6
146,2,1.0,session,track,get_terms,0.16666666666666666,0.3333333333333333,0.3333333333333333,1491,453,0.6
147,2,2.0,session,track,get_terms,0.2857142857142857,0.42857142857142855,0.5714285714285714,1491,453,0.6
148,2,3.0,session,track,get_terms,0.2857142857142857,0.5714285714285714,0.5714285714285714,1491,453,0.6
149,2,4.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.6
150,2,5.0,session,track,get_terms,0.4,1.2,1.2,1491,453,0.6
151,2,6.0,session,track,get_terms,0.25,0.5,0.5,1491,453,0.6
152,2,8.0,session,track,get_terms,0.3333333333333333,1.0,1.0,1491,453,0.6
153,2,9.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.6
154,2,12.0,session,track,get_terms,1.0,1.0,3.0,1491,453,0.6
155,2,19.0,session,track,get_terms,0.0,0.0,0.0,1491,453,0.6
